Y,tau_future,score_raw,score_norm,direction,n_bull_sets,n_bear_sets,n_bull_firing,n_bear_firing,bull_weight_total,bear_weight_total,bull_weight_fired,bear_weight_fired,top_bull_conditions,top_bear_conditions,latest_date
EDV,300,68.1852,0.371,BULLISH,5,10,4,0,79.6982,104.0731,68.1852,0.0,"SLV(t=252,q=0.95) & SI=F(t=300,q=0.95) CPE=0.957 lift=4.78 n=116 | SLV(t=252,q=0.95) & SI=F(t=300,q=0.95) CPE=1.000 lift=4.00 n=116 | SLV(t=252,q=0.95) & SI=F(t=300,q=0.95) CPE=1.000 lift=3.33 n=116",,2026-06-03
EEM,126,0.0,0.0,NEUTRAL,0,2,0,0,0.0,18.4999,0.0,0.0,,,2026-06-03
EEM,252,0.0,0.0,NEUTRAL,3,0,0,0,30.9155,0.0,0.0,0.0,,,2026-06-03
EEM,300,0.0,0.0,NEUTRAL,1,1,0,0,9.4899,9.401,0.0,0.0,,,2026-06-03
EFA,252,0.0,0.0,NEUTRAL,3,0,0,0,30.8636,0.0,0.0,0.0,,,2026-06-03
EFA,300,0.0,0.0,NEUTRAL,2,0,0,0,25.6675,0.0,0.0,0.0,,,2026-06-03
EMB,63,0.0,0.0,NEUTRAL,3,0,0,0,24.971,0.0,0.0,0.0,,,2026-06-03
EMB,126,0.0,0.0,NEUTRAL,10,0,0,0,111.2555,0.0,0.0,0.0,,,2026-06-03
EMB,252,0.0,0.0,NEUTRAL,13,2,0,0,180.0632,18.8282,0.0,0.0,,,2026-06-03
EMB,300,12.9829,0.0831,BULLISH,11,1,1,0,146.8937,9.3457,12.9829,0.0,"SLV(t=252,q=0.95) & SI=F(t=300,q=0.95) CPE=0.905 lift=3.02 n=116",,2026-06-03
ETH-USD,63,0.0,0.0,NEUTRAL,0,1,0,0,0.0,7.4604,0.0,0.0,,,2026-06-03
ETH-USD,126,-39.6909,-0.4496,BEARISH,4,4,0,4,48.5956,39.6909,0.0,39.6909,,"IBIT(t=252,q=0.5) & FBTC(t=252,q=0.5) CPE=0.951 lift=2.38 n=122 | IBIT(t=252,q=0.5) & FBTC(t=252,q=0.5) & BITB(t=252,q=0.5) CPE=0.951 lift=2.38 n=122 | BITB(t=252,q=0.5) & IBIT(t=252,q=0.5) CPE=0.967 lift=1.93 n=122",2026-06-03
ETH-USD,252,0.0,0.0,NEUTRAL,8,0,0,0,108.5799,0.0,0.0,0.0,,,2026-06-03
ETH-USD,300,0.0,0.0,NEUTRAL,7,0,0,0,108.1543,0.0,0.0,0.0,,,2026-06-03
ETHE,126,-39.4879,-1.0,BEARISH,0,4,0,4,0.0,39.4879,0.0,39.4879,,"BITB(t=252,q=0.5) & FBTC(t=252,q=0.5) CPE=0.957 lift=2.39 n=116 | BITB(t=252,q=0.5) & FBTC(t=252,q=0.5) & IBIT(t=252,q=0.5) CPE=0.957 lift=2.39 n=116 | FBTC(t=252,q=0.5) & BITB(t=252,q=0.5) CPE=0.966 lift=1.93 n=116",2026-06-03
ETHE,252,0.0,0.0,NEUTRAL,2,7,0,0,20.6617,72.3118,0.0,0.0,,,2026-06-03
ETHE,300,39.8374,0.4265,BULLISH,7,2,4,0,75.7279,17.68,39.8374,0.0,"ICLN(t=126,q=0.95) & VWO(t=126,q=0.75) CPE=1.000 lift=2.50 n=108 | VWO(t=126,q=0.8) & EEM(t=126,q=0.75) CPE=1.000 lift=2.00 n=120 | VWO(t=126,q=0.8) & EEM(t=126,q=0.75) & EWJ(t=126,q=0.8) CPE=1.000 lift=2.00 n=106",,2026-06-03
EURCHF=X,126,0.0,0.0,NEUTRAL,1,0,0,0,8.3391,0.0,0.0,0.0,,,2026-06-03
EURCHF=X,252,0.0,0.0,NEUTRAL,2,0,0,0,28.7897,0.0,0.0,0.0,,,2026-06-03
EURCHF=X,300,0.0,0.0,NEUTRAL,6,6,0,0,75.8205,56.8664,0.0,0.0,,,2026-06-03
EURGBP=X,63,7.9729,0.3426,BULLISH,1,2,1,0,7.9729,15.2975,7.9729,0.0,"BZ=F(t=126,q=0.95) & CL=F(t=126,q=0.95) CPE=0.884 lift=1.77 n=164",,2026-06-03
EURGBP=X,126,0.0,0.0,NEUTRAL,6,3,0,0,78.5243,36.2851,0.0,0.0,,,2026-06-03
EURGBP=X,252,0.0,0.0,NEUTRAL,11,6,0,0,175.8389,57.7673,0.0,0.0,,,2026-06-03
EURGBP=X,300,0.0,0.0,NEUTRAL,9,2,0,0,141.5845,21.0463,0.0,0.0,,,2026-06-03
EURJPY=X,63,0.0,0.0,NEUTRAL,0,1,0,0,0.0,7.2019,0.0,0.0,,,2026-06-03
EURJPY=X,252,0.0,0.0,NEUTRAL,12,0,0,0,247.9247,0.0,0.0,0.0,,,2026-06-03
EURJPY=X,300,0.0,0.0,NEUTRAL,6,0,0,0,179.9755,0.0,0.0,0.0,,,2026-06-03
EURUSD=X,252,0.0,0.0,NEUTRAL,0,1,0,0,0.0,9.2302,0.0,0.0,,,2026-06-03
EURUSD=X,300,0.0,0.0,NEUTRAL,2,1,0,0,17.5985,9.3269,0.0,0.0,,,2026-06-03
EWJ,63,0.0,0.0,NEUTRAL,0,3,0,0,0.0,29.6061,0.0,0.0,,,2026-06-03
EWJ,126,0.0,0.0,NEUTRAL,0,1,0,0,0.0,9.2103,0.0,0.0,,,2026-06-03
EWJ,252,0.0,0.0,NEUTRAL,8,4,0,0,101.6342,54.1627,0.0,0.0,,,2026-06-03
EWJ,300,0.0,0.0,NEUTRAL,8,5,0,0,106.5869,75.2136,0.0,0.0,,,2026-06-03
EWY,252,0.0,0.0,NEUTRAL,10,3,0,0,150.7737,27.631,0.0,0.0,,,2026-06-03
EWY,300,0.0,0.0,NEUTRAL,2,4,0,0,19.5312,37.6122,0.0,0.0,,,2026-06-03
EWZ,252,0.0,0.0,NEUTRAL,2,3,0,0,18.7571,32.7528,0.0,0.0,,,2026-06-03
EWZ,300,0.0,0.0,NEUTRAL,1,3,0,0,9.0905,35.0437,0.0,0.0,,,2026-06-03
FBTC,63,0.0,0.0,NEUTRAL,1,1,0,0,8.8683,8.2153,0.0,0.0,,,2026-06-03
FBTC,126,-32.9835,-1.0,BEARISH,0,3,0,3,0.0,32.9835,0.0,32.9835,,"DOGE-USD(t=252,q=0.6) & BTC-USD(t=252,q=0.6) CPE=0.891 lift=2.97 n=101 | DOGE-USD(t=252,q=0.6) & BTC-USD(t=252,q=0.6) CPE=1.000 lift=2.50 n=101 | DOGE-USD(t=252,q=0.6) & BTC-USD(t=252,q=0.6) CPE=1.000 lift=2.00 n=101",2026-06-03
FBTC,252,0.0,0.0,NEUTRAL,7,13,0,0,62.4889,148.9479,0.0,0.0,,,2026-06-03
FBTC,300,0.0,0.0,NEUTRAL,0,5,0,0,0.0,54.6877,0.0,0.0,,,2026-06-03
FXI,126,0.0,0.0,NEUTRAL,1,0,0,0,9.1796,0.0,0.0,0.0,,,2026-06-03
FXI,252,0.0,0.0,NEUTRAL,3,0,0,0,31.1444,0.0,0.0,0.0,,,2026-06-03
FXI,300,0.0,0.0,NEUTRAL,4,0,0,0,55.6084,0.0,0.0,0.0,,,2026-06-03
GBPJPY=X,252,0.0,0.0,NEUTRAL,8,1,0,0,129.8811,9.2499,0.0,0.0,,,2026-06-03
GBPJPY=X,300,0.0,0.0,NEUTRAL,17,0,0,0,298.1749,0.0,0.0,0.0,,,2026-06-03
GBPUSD=X,126,0.0,0.0,NEUTRAL,1,0,0,0,11.611,0.0,0.0,0.0,,,2026-06-03
GBTC,63,0.0,0.0,NEUTRAL,2,1,0,0,16.8334,9.4207,0.0,0.0,,,2026-06-03
GBTC,126,-20.602,-0.4548,BEARISH,1,4,0,2,7.72,37.5785,0.0,20.602,,"FBTC(t=252,q=0.5) & IBIT(t=252,q=0.5) CPE=0.931 lift=2.33 n=116 | FBTC(t=252,q=0.5) & IBIT(t=252,q=0.5) & BITB(t=252,q=0.5) CPE=0.931 lift=2.33 n=116",2026-06-03
GC=F,63,0.0,0.0,NEUTRAL,4,0,0,0,36.8611,0.0,0.0,0.0,,,2026-06-03
GC=F,126,0.0,0.0,NEUTRAL,10,0,0,0,147.9139,0.0,0.0,0.0,,,2026-06-03
GC=F,252,0.0,0.0,NEUTRAL,10,2,0,0,155.8555,18.9448,0.0,0.0,,,2026-06-03
GC=F,300,0.0,0.0,NEUTRAL,10,2,0,0,150.7634,18.4207,0.0,0.0,,,2026-06-03
GLD,63,0.0,0.0,NEUTRAL,4,0,0,0,37.1627,0.0,0.0,0.0,,,2026-06-03
GLD,126,0.0,0.0,NEUTRAL,10,0,0,0,146.1304,0.0,0.0,0.0,,,2026-06-03
GLD,252,0.0,0.0,NEUTRAL,10,0,0,0,153.1117,0.0,0.0,0.0,,,2026-06-03
GLD,300,0.0,0.0,NEUTRAL,10,0,0,0,142.833,0.0,0.0,0.0,,,2026-06-03
GOOGL,63,0.0,0.0,NEUTRAL,3,5,0,0,27.2007,40.9707,0.0,0.0,,,2026-06-03
GOOGL,126,0.0,0.0,NEUTRAL,3,13,0,0,28.7164,149.7887,0.0,0.0,,,2026-06-03
