,price,z,position
2020-10-15,2.7750000953674316,1.5888429142555622,-1
2020-10-16,2.7730000019073486,1.8842622033014715,-1
2020-10-19,2.7950000762939453,1.8649442403250196,-1
2020-10-20,2.9130001068115234,1.8964561923691936,-1
2020-10-21,3.0230000019073486,2.118380200932554,-1
2020-10-22,3.006999969482422,2.3073829924129776,-1
2020-10-23,2.9709999561309814,2.248899836136086,-1
2020-10-26,3.0239999294281006,2.1555362343562883,-1
2020-10-27,3.0190000534057617,2.230380845125157,-1
2020-10-28,2.996000051498413,2.1992929349365173,-1
2020-10-29,3.3010001182556152,2.1409157839579254,-1
2020-10-30,3.3540000915527344,2.6550006971956046,-1
2020-11-02,3.24399995803833,2.7083462708873918,-1
2020-11-03,3.059000015258789,2.5013132083271854,-1
2020-11-04,3.0460000038146973,2.17175781955272,-1
2020-11-05,2.941999912261963,2.141549867986604,-1
2020-11-06,2.888000011444092,1.9492711016719793,-1
2020-11-09,2.8589999675750732,1.8452704224138252,-1
2020-11-10,2.9489998817443848,1.7885428434143391,-1
2020-11-11,3.0309998989105225,1.9458007687816237,-1
2020-11-12,2.9760000705718994,2.07923705080503,-1
2020-11-13,2.994999885559082,1.9692307638085593,-1
2020-11-16,2.697000026702881,1.9918005282528821,-1
2020-11-17,2.691999912261963,1.4358437646056053,-1
2020-11-18,2.7119998931884766,1.423126262650853,-1
2020-11-19,2.5920000076293945,1.4577064551602623,-1
2020-11-20,2.6500000953674316,1.2178973883226363,-1
2020-11-23,2.7109999656677246,1.3330191105286835,-1
2020-11-24,2.7750000953674316,1.4520467485736037,-1
2020-11-25,2.8959999084472656,1.5691797174315414,-1
2020-11-27,2.8429999351501465,1.7822921730885783,-1
2020-11-30,2.881999969482422,1.6768397681275464,-1
2020-12-01,2.880000114440918,1.7335630849410029,-1
2020-12-02,2.7799999713897705,1.7167379908865266,-1
2020-12-03,2.506999969482422,1.5266945247362393,-1
2020-12-04,2.575000047683716,0.9929239447205944,-1
2020-12-07,2.4059998989105225,1.128034285656471,-1
2020-12-08,2.3989999294281006,0.7783242431599405,-1
2020-12-09,2.441999912261963,0.7612432629119446,-1
2020-12-10,2.552999973297119,0.8499897611161471,-1
2020-12-11,2.5910000801086426,1.0730900694587227,-1
2020-12-14,2.681999921798706,1.1443198023106922,-1
2020-12-15,2.681999921798706,1.3135954798305032,-1
2020-12-16,2.677000045776367,1.3073692688416243,-1
2020-12-17,2.635999917984009,1.291511277760978,-1
2020-12-18,2.700000047683716,1.2075417073991932,-1
2020-12-21,2.7049999237060547,1.3211945533670635,-1
2020-12-22,2.7799999713897705,1.3237262598587018,-1
2020-12-23,2.6080000400543213,1.4506755344461266,-1
2020-12-24,2.5179998874664307,1.1248657769240964,-1
2020-12-28,2.305000066757202,0.9465512172503481,-1
2020-12-29,2.4670000076293945,0.5046389003494913,-1
2020-12-30,2.421999931335449,0.839439353952652,-1
