credit,rate,target,tau_past,tau_future,q,n_joint,cpe,lift,n_episodes,episode_hit_rate,episode_years,reliable_n>=3
HYG,TLT,SPY,126,126,0.1,100,0.8571428571428571,1.7142857142857142,1,0.0,[[2022]],False
HYG,TLT,SPY,126,126,0.2,222,0.7731481481481481,1.5462962962962963,5,0.2,"[[2013], [2015], [2018], [2022, 2023], [2025]]",True
HYG,TLT,SPY,126,252,0.05,43,0.9512195121951219,1.9024390243902438,1,0.0,[[2022]],False
HYG,TLT,SPY,126,252,0.1,100,0.8617021276595744,1.7234042553191489,1,0.0,[[2022]],False
HYG,TLT,SPY,126,252,0.2,222,0.7417840375586855,1.483568075117371,5,0.2,"[[2013], [2015], [2018], [2022, 2023], [2025]]",True
HYG,TLT,SPY,252,21,0.05,44,0.37209302325581395,0.7442778533271364,1,0.0,[[2022]],False
HYG,TLT,SPY,252,21,0.1,150,0.5448275862068965,1.089789598169087,1,0.0,[[2022]],False
HYG,TLT,SPY,252,21,0.2,252,0.5860655737704918,1.1722757479786274,2,0.5,"[[2015], [2022, 2023]]",False
HYG,TLT,SPY,252,63,0.05,44,0.23255813953488372,0.46517392858378204,1,0.0,[[2022]],False
HYG,TLT,SPY,252,63,0.1,150,0.6689655172413793,1.338096866291693,1,0.0,[[2022]],False
HYG,TLT,SPY,252,63,0.2,252,0.6337448559670782,1.267646812790866,2,0.5,"[[2015], [2022, 2023]]",False
HYG,TLT,SPY,252,126,0.05,44,0.6590909090909091,1.3181818181818181,1,0.0,[[2022]],False
HYG,TLT,SPY,252,126,0.1,150,0.8333333333333334,1.6666666666666667,1,0.0,[[2022]],False
HYG,TLT,SPY,252,126,0.2,252,0.7768595041322314,1.5537190082644627,2,0.5,"[[2015], [2022, 2023]]",False
HYG,TLT,SPY,252,252,0.05,44,0.6904761904761905,1.380952380952381,1,0.0,[[2022]],False
HYG,TLT,SPY,252,252,0.1,150,0.704225352112676,1.408450704225352,1,0.0,[[2022]],False
HYG,TLT,SPY,252,252,0.2,252,0.6666666666666666,1.3333333333333333,2,0.5,"[[2015], [2022, 2023]]",False
HYG,TLT,QQQ,21,21,0.05,20,0.42105263157894735,0.8421052631578947,7,0.2857142857142857,"[[2009], [2013], [2013], [2016], [2022], [2022], [2023]]",True
HYG,TLT,QQQ,21,21,0.1,100,0.6082474226804123,1.2164948453608246,12,0.25,"[[2008], [2009], [2013], [2015], [2016], [2018], [2022], [2022], [2022, 2023], [2023], [2024], [2025]]",True
HYG,TLT,QQQ,21,21,0.2,318,0.5209003215434084,1.0418006430868167,28,0.32142857142857145,"[[2007], [2008], [2008], [2008], [2010], [2010], [2012], [2013], [2014], [2015], [2015], [2016], [2017], [2018], [2018], [2020], [2021], [2021], [2022], [2022], [2022, 2023], [2023], [2024], [2024], [2024], [2025], [2025], [2026]]",True
HYG,TLT,QQQ,21,63,0.05,20,0.1,0.2000305436774588,7,0.0,"[[2009], [2013], [2013], [2016], [2022], [2022], [2023]]",True
HYG,TLT,QQQ,21,63,0.1,100,0.40625,0.8126240836896763,9,0.3333333333333333,"[[2008], [2013], [2015], [2018], [2022], [2022], [2022, 2023], [2023], [2025]]",True
HYG,TLT,QQQ,21,63,0.2,318,0.42244224422442245,0.8450135178453704,27,0.37037037037037035,"[[2007], [2008], [2008], [2008], [2009], [2009], [2010], [2010], [2012], [2013], [2014], [2015], [2015], [2016], [2017], [2018], [2020], [2021], [2021], [2022], [2022], [2022, 2023], [2024], [2024], [2024], [2025], [2026]]",True
HYG,TLT,QQQ,21,126,0.05,20,0.35,0.7,7,0.14285714285714285,"[[2009], [2013], [2013], [2016], [2022], [2022], [2023]]",True
HYG,TLT,QQQ,21,126,0.1,100,0.3854166666666667,0.7708333333333334,12,0.25,"[[2008], [2009], [2013], [2015], [2016], [2018], [2022], [2022], [2022, 2023], [2023], [2024], [2025]]",True
HYG,TLT,QQQ,21,126,0.2,318,0.4402730375426621,0.8805460750853242,29,0.4827586206896552,"[[2007], [2008], [2008], [2008], [2009], [2009], [2010], [2010], [2012], [2013], [2014], [2015], [2015], [2016], [2017], [2018], [2018], [2020], [2021], [2021], [2022], [2022], [2022, 2023], [2023], [2024], [2024], [2024], [2025], [2025]]",True
HYG,TLT,QQQ,21,252,0.05,20,0.3333333333333333,0.6667713896743114,6,0.16666666666666666,"[[2009], [2013], [2013], [2016], [2022], [2023]]",True
HYG,TLT,QQQ,21,252,0.1,100,0.39361702127659576,0.7873577048281764,11,0.2727272727272727,"[[2008], [2009], [2013], [2015], [2016], [2018], [2022], [2022], [2022, 2023], [2023], [2025]]",True
HYG,TLT,QQQ,21,252,0.2,318,0.4536082474226804,0.9073590045052485,28,0.4642857142857143,"[[2007], [2008], [2008], [2008], [2009], [2009], [2010], [2010], [2012], [2013], [2014], [2015], [2015], [2016], [2017], [2018], [2018], [2020], [2021], [2021], [2022], [2022], [2022, 2023], [2023], [2024], [2024], [2024], [2025]]",True
HYG,TLT,QQQ,63,21,0.05,37,0.5428571428571428,1.0857142857142856,2,0.0,"[[2009], [2022]]",False
HYG,TLT,QQQ,63,21,0.1,110,0.5887850467289719,1.1775700934579438,3,0.0,"[[2009], [2013], [2022]]",True
HYG,TLT,QQQ,63,21,0.2,256,0.5220883534136547,1.0441767068273093,10,0.3,"[[2009], [2013], [2015], [2016], [2018], [2018], [2020], [2021], [2021, 2022], [2023]]",True
HYG,TLT,QQQ,63,63,0.05,37,0.4444444444444444,0.8890246385664834,2,0.5,"[[2009], [2022]]",False
HYG,TLT,QQQ,63,63,0.1,110,0.5384615384615384,1.0770875428786242,3,0.0,"[[2009], [2013], [2022]]",True
HYG,TLT,QQQ,63,63,0.2,256,0.49794238683127573,0.9960368635791157,8,0.375,"[[2009], [2013], [2015], [2018], [2018], [2020], [2021], [2023]]",True
HYG,TLT,QQQ,63,126,0.05,37,0.4,0.8,2,0.0,"[[2009], [2022]]",False
HYG,TLT,QQQ,63,126,0.1,110,0.616822429906542,1.233644859813084,3,0.0,"[[2009], [2013], [2022]]",True
