Y,tau_future,score_raw,score_norm,direction,n_bull_sets,n_bear_sets,n_bull_firing,n_bear_firing,bull_weight_total,bear_weight_total,bull_weight_fired,bear_weight_fired,top_bull_conditions,top_bear_conditions,latest_date
IAU,300,0.0,0.0,NEUTRAL,0,2,0,0,0.0,16.6399,0.0,0.0,,,2026-06-16
IEF,300,0.0,0.0,NEUTRAL,0,1,0,0,0.0,8.4353,0.0,0.0,,,2026-06-16
IEI,252,0.0,0.0,NEUTRAL,0,1,0,0,0.0,8.7574,0.0,0.0,,,2026-06-16
IEI,300,0.0,0.0,NEUTRAL,0,1,0,0,0.0,9.6553,0.0,0.0,,,2026-06-16
INDA,126,0.0,0.0,NEUTRAL,1,0,0,0,8.3201,0.0,0.0,0.0,,,2026-06-16
INDA,252,18.11,1.0,BULLISH,2,0,2,0,18.11,0.0,18.11,0.0,"CPER(t=252,q=0.95) & HG=F(t=126,q=0.8) & DBB(t=252,q=0.9) CPE=0.991 lift=1.98 n=105 | CPER(t=252,q=0.95) & HG=F(t=126,q=0.8) CPE=0.981 lift=1.96 n=106",,2026-06-16
INRUSD=X,252,0.0,0.0,NEUTRAL,2,0,0,0,21.0605,0.0,0.0,0.0,,,2026-06-16
INRUSD=X,300,0.0,0.0,NEUTRAL,3,0,0,0,36.8499,0.0,0.0,0.0,,,2026-06-16
ITB,63,0.0,0.0,NEUTRAL,2,0,0,0,17.5902,0.0,0.0,0.0,,,2026-06-16
ITB,126,0.0,0.0,NEUTRAL,10,0,0,0,138.8258,0.0,0.0,0.0,,,2026-06-16
ITB,252,0.0,0.0,NEUTRAL,14,0,0,0,246.721,0.0,0.0,0.0,,,2026-06-16
ITB,300,0.0,0.0,NEUTRAL,14,0,0,0,213.9978,0.0,0.0,0.0,,,2026-06-16
IWM,63,0.0,0.0,NEUTRAL,6,0,0,0,68.8451,0.0,0.0,0.0,,,2026-06-16
IWM,126,0.0,0.0,NEUTRAL,11,0,0,0,147.0452,0.0,0.0,0.0,,,2026-06-16
IWM,252,0.0,0.0,NEUTRAL,18,1,0,0,400.0376,9.3827,0.0,0.0,,,2026-06-16
IWM,300,0.0,0.0,NEUTRAL,18,2,0,0,379.2256,18.6158,0.0,0.0,,,2026-06-16
