seg_start,seg_end,raw_mae,corrected_mae,transferred_ok,delta
2017-02-03,2017-03-07,0.036441763685049824,0.03239891410726501,True,-0.004042849577784814
2017-03-08,2017-04-06,0.03602603051308967,0.01403660399369427,True,-0.0219894265193954
2017-04-07,2017-05-09,0.0633851554833192,0.03181242098339023,True,-0.03157273449992897
2017-05-10,2017-06-09,0.05312731292025039,0.029976430158538594,True,-0.0231508827617118
2017-06-12,2017-07-12,0.07624755680800692,0.06093674312567738,True,-0.01531081368232954
2017-07-13,2017-08-11,0.07368924798434912,0.02231191267942356,True,-0.05137733530492555
2017-08-14,2017-09-13,0.03890891680275665,0.07608195428958381,False,0.03717303748682716
2017-09-14,2017-10-13,0.04810139840173338,0.009194810195600355,True,-0.038906588206133026
2017-10-16,2017-11-14,0.02387299598775368,0.06022579878551782,False,0.03635280279776414
2017-11-15,2017-12-15,0.022353795317901673,0.05049376965611708,False,0.028139974338215405
2017-12-18,2018-01-19,0.08666537004280556,0.10637512599859654,False,0.019709755955790983
2018-01-22,2018-02-21,0.08981837809203806,0.03341795386853099,True,-0.05640042422350707
2018-02-22,2018-03-23,0.03231798857406456,0.02328479618682435,True,-0.009033192387240208
2018-03-26,2018-04-25,0.011912822278016938,0.044148881544965594,False,0.032236059266948655
2018-04-26,2018-05-25,0.04849504183153479,0.03725458156303595,True,-0.011240460268498835
2018-05-29,2018-06-27,0.04987850131986833,0.029820688846434396,True,-0.020057812473433936
2018-06-28,2018-07-30,0.08604344060338824,0.04870135398282729,True,-0.03734208662056095
2018-07-31,2018-08-29,0.10738140022211172,0.021600096335471893,True,-0.08578130388663982
2018-08-30,2018-10-01,0.17066563468236606,0.061108646390025105,True,-0.10955698829234095
2018-10-02,2018-10-31,0.19871449029685156,0.04974214429438644,True,-0.14897234600246512
2018-11-01,2018-12-03,0.25319640038036745,0.049066527640872604,True,-0.20412987273949484
2018-12-04,2019-01-07,0.23264608862842093,0.04827880243021732,True,-0.1843672861982036
2019-01-08,2019-02-07,0.14025640296539127,0.1645089325390532,False,0.02425252957366192
2019-02-08,2019-03-12,0.11349961003098717,0.025412252061078108,True,-0.08808735796990906
2019-03-13,2019-04-11,0.15354592217841653,0.05197961942010336,True,-0.10156630275831317
2019-04-12,2019-05-14,0.19156149269996545,0.010401832865119096,True,-0.18115965983484636
2019-05-15,2019-06-14,0.20382148520356216,0.04760668031888051,True,-0.15621480488468165
2019-06-17,2019-07-17,0.13343416517176718,0.08196343732891541,True,-0.05147072784285177
2019-07-18,2019-08-16,0.15885706014449064,0.19044758724867858,False,0.03159052710418794
2019-08-19,2019-09-18,0.14170635224536496,0.035523609148020274,True,-0.10618274309734468
2019-09-19,2019-10-18,0.19978162164586957,0.0788965387818322,True,-0.12088508286403737
2019-10-21,2019-11-19,0.30466762764843286,0.10981146875846964,True,-0.19485615888996322
2019-11-20,2019-12-20,0.30061822175643466,0.09259010647980294,True,-0.20802811527663173
2019-12-23,2020-01-24,0.19328027674884937,0.15858940502423613,True,-0.03469087172461324
2020-01-27,2020-02-26,0.15267854160916483,0.04463764608330805,True,-0.10804089552585677
2020-02-27,2020-03-27,0.14448557639663487,0.10846939989617717,True,-0.0360161765004577
2020-03-30,2020-04-29,0.1109204284666281,0.052984926914317956,True,-0.05793550155231014
2020-04-30,2020-06-01,0.050755974481450326,0.04480357551189295,True,-0.0059523989695573765
2020-06-02,2020-07-01,0.011703430766220923,0.061560609052967924,False,0.049857178286747
2020-07-02,2020-08-03,0.04094457751357172,0.07379813957097031,False,0.03285356205739859
2020-08-04,2020-09-02,0.04009072242044924,0.19870236607801559,False,0.15861164365756636
2020-09-03,2020-10-05,0.041783799032035086,0.0269611146350745,True,-0.014822684396960585
2020-10-06,2020-11-04,0.036173849857759406,0.019319890827088397,True,-0.01685395903067101
2020-11-05,2020-12-07,0.0349714082594996,0.13572438315209887,False,0.10075297489259927
2020-12-08,2021-01-08,0.05085746684525672,0.14604828725766783,False,0.09519082041241111
2021-01-11,2021-02-10,0.1186835458924799,0.015180336902417463,True,-0.10350320899006243
2021-02-11,2021-03-15,0.037603876249589524,0.12390944966183004,False,0.08630557341224052
2021-03-16,2021-04-15,0.02510882388359836,0.010085381391130632,True,-0.015023442492467728
2021-04-16,2021-05-17,0.05042418455666469,0.04515759522738407,True,-0.005266589329280619
2021-05-18,2021-06-17,0.030052689616195092,0.03505260270759369,False,0.004999913091398595
