seg_start,seg_end,raw_mae,corrected_mae,transferred_ok,delta
2020-01-06,2020-01-10,0.17181712867941404,0.0792493678178464,True,-0.09256776086156764
2020-01-13,2020-01-17,0.17658263970088794,0.07398331122042882,True,-0.10259932848045912
2020-01-21,2020-01-27,0.16694050678250982,0.08126893345485328,True,-0.08567157332765654
2020-01-28,2020-02-03,0.14794028477988722,0.09284576097089514,True,-0.055094523808992074
2020-02-04,2020-02-10,0.1771696887018721,0.05705293202620372,True,-0.12011675667566839
2020-02-11,2020-02-18,0.14842387815323285,0.07313496720842119,True,-0.07528891094481166
2020-02-19,2020-02-25,0.14387859507892412,0.019228419857978067,True,-0.12465017522094604
2020-02-26,2020-03-03,0.09852105626033622,0.10327173884885732,False,0.004750682588521099
2020-03-04,2020-03-10,0.07284846804635058,0.1572255946559319,False,0.08437712660958131
2020-03-11,2020-03-17,0.17601869821697885,0.07182880227127768,True,-0.10418989594570117
2020-03-18,2020-03-24,0.2223061023580058,0.09440415370312374,True,-0.12790194865488205
2020-03-25,2020-03-31,0.1566845233337964,0.01930863838919077,True,-0.13737588494460562
2020-04-01,2020-04-07,0.17239534576751966,0.022430616539192365,True,-0.1499647292283273
2020-04-08,2020-04-15,0.0930370167064714,0.08523228319046264,True,-0.007804733516008758
2020-04-16,2020-04-22,0.08553298541793877,0.09192743242075242,False,0.00639444700281365
2020-04-23,2020-04-29,0.07010992713970157,0.11382917809109117,False,0.04371925095138959
2020-04-30,2020-05-06,0.07569695437081533,0.10277964379804601,False,0.027082689427230675
2020-05-07,2020-05-13,0.07156049877919793,0.09617402211384878,False,0.024613523334650847
2020-05-14,2020-05-20,0.03132964508023404,0.134669183077671,False,0.10333953799743698
2020-05-21,2020-05-28,0.043246734586870214,0.10687793433689116,False,0.06363119975002095
2020-05-29,2020-06-04,0.0035477282427473777,0.14836399638006514,False,0.14481626813731777
2020-06-05,2020-06-11,0.009557595710220152,0.15285516564484644,False,0.14329756993462628
2020-06-12,2020-06-18,0.003182587236118949,0.18867832013962188,False,0.18549573290350294
2020-06-19,2020-06-25,0.011189699532356958,0.17480322319227803,False,0.16361352365992107
2020-06-26,2020-07-02,0.02968291986663375,0.18832754329380702,False,0.15864462342717328
2020-07-06,2020-07-10,0.026064430879505655,0.18528531491343556,False,0.1592208840339299
2020-07-13,2020-07-17,0.01774965585118506,0.17158179986575295,False,0.15383214401456788
2020-07-20,2020-07-24,0.029787266369439937,0.17263133052017504,False,0.1428440641507351
2020-07-27,2020-07-31,0.08295480235481242,0.22642592933509514,False,0.14347112698028272
2020-08-03,2020-08-07,0.10652993614683184,0.2683876887204022,False,0.16185775257357035
2020-08-10,2020-08-14,0.04344395879203811,0.19043383442127676,False,0.14698987562923865
2020-08-17,2020-08-21,0.025289465815651037,0.15489191954025786,False,0.12960245372460683
2020-08-24,2020-08-28,0.007490460070520147,0.12962419024001134,False,0.1221337301694912
2020-08-31,2020-09-04,0.01604691984560814,0.15791785052664792,False,0.1418709306810398
2020-09-08,2020-09-14,0.021694068104667154,0.1582846807922457,False,0.13659061268757855
2020-09-15,2020-09-21,0.07029781268085084,0.1998101547701739,False,0.12951234208932305
2020-09-22,2020-09-28,0.04182943404738133,0.17401345582329894,False,0.13218402177591762
2020-09-29,2020-10-05,0.04705284417671379,0.17713444152583305,False,0.13008159734911925
2020-10-06,2020-10-12,0.03608707723214029,0.1659842293397385,False,0.12989715210759822
2020-10-13,2020-10-19,0.03272842689927736,0.16433982798464086,False,0.1316114010853635
2020-10-20,2020-10-26,0.0429274990643595,0.1733531421114816,False,0.1304256430471221
2020-10-27,2020-11-02,0.02639484184418106,0.168014079127411,False,0.14161923728322995
2020-11-03,2020-11-09,0.07309294857598285,0.19753606387449224,False,0.12444311529850939
2020-11-10,2020-11-16,0.03479945018893622,0.13190932421483756,False,0.09710987402590134
2020-11-17,2020-11-23,0.018672216889799625,0.0950929997502174,False,0.07642078286041777
2020-11-24,2020-12-01,0.03633026721142122,0.008667895033446168,True,-0.027662372177975052
2020-12-02,2020-12-08,0.013320093312617742,0.028705321706751934,False,0.015385228394134191
2020-12-09,2020-12-15,0.01105908866847322,0.03248926182459294,False,0.02143017315611972
2020-12-16,2020-12-22,0.032833829033151456,0.07148368742173983,False,0.03864985838858837
2020-12-23,2020-12-30,0.04648830889848847,0.07977592868650299,False,0.03328761978801452
2020-12-31,2021-01-07,0.10307291875431993,0.28241806616705106,False,0.17934514741273114
2021-01-08,2021-01-14,0.13928869352431514,0.36787939560522903,False,0.2285907020809139
2021-01-15,2021-01-22,0.13159758257560303,0.35740267323671504,False,0.225805090661112
2021-01-25,2021-01-29,0.11827694845888803,0.3438934048326441,False,0.22561645637375605
2021-02-01,2021-02-05,0.11467881463301692,0.340275825591127,False,0.22559701095811008
2021-02-08,2021-02-12,0.07465816484092982,0.30076389149609567,False,0.22610572665516585
2021-02-16,2021-02-22,0.0421614416545199,0.26722987944965215,False,0.22506843779513225
2021-02-23,2021-03-01,0.05937476889199204,0.27457728508199014,False,0.2152025161899981
