ticker,seg_idx,test_seg_start,quantile_map_flagged_ok,overfit_mae_features,overfit_mae_priceonly
GLD,0,2017-03-08,True,0.017140049986551196,0.010206214468966112
GLD,1,2017-04-07,True,0.01634262572159255,0.02598512415751592
GLD,2,2017-05-10,True,0.030084263888852512,0.018279901358733582
GLD,3,2017-06-12,True,0.041041029728009895,0.026390243681948203
GLD,4,2017-07-13,True,0.012554097993166298,0.02497781777749761
GLD,5,2017-08-14,False,0.09961145592033237,0.05968192289768106
GLD,6,2017-09-14,True,0.010235527051104476,0.029427280811208614
GLD,7,2017-10-16,False,0.013553074792982327,0.02102391627738386
GLD,8,2017-11-15,False,0.025470585361558364,0.013945676506572883
GLD,9,2017-12-18,False,0.03380064307116452,0.021426118468933445
GLD,10,2018-01-22,True,0.011737600834118149,0.020706836158488808
GLD,11,2018-02-22,True,0.015258608340378909,0.0218451240901119
GLD,12,2018-03-26,False,0.010724330788656596,0.030661683960474254
GLD,13,2018-04-26,True,0.028985404457296925,0.05122788037441078
GLD,14,2018-05-29,True,0.011338828303544404,0.020033500592643454
GLD,15,2018-06-28,True,0.043248732392705436,0.02058341197171009
GLD,16,2018-07-31,True,0.027181254416307334,0.03271098607978104
GLD,17,2018-08-30,True,0.04722077698415121,0.0738636692729315
GLD,18,2018-10-02,True,0.01881996278270026,0.03057127267515719
GLD,19,2018-11-01,True,0.046121898231977314,0.05786564048514258
GLD,20,2018-12-04,True,0.048429701994259666,0.046477339059238794
GLD,21,2019-01-08,False,0.007830631768868222,0.03696696124031386
GLD,22,2019-02-08,True,0.024006725035278998,0.030359978421805066
GLD,23,2019-03-13,True,0.03150559089100032,0.04035576316491787
GLD,24,2019-04-12,True,0.033812068155564395,0.04199585449074092
GLD,25,2019-05-15,True,0.03979435593545085,0.02706226153662198
GLD,26,2019-06-17,True,0.024809562314343482,0.07884981841836981
GLD,27,2019-07-18,False,0.01372606583372415,0.05116524628829193
GLD,28,2019-08-19,True,0.01851801549621478,0.04289473362757482
GLD,29,2019-09-19,True,0.07755873413133448,0.044056386316173084
GLD,30,2019-10-21,True,0.06875193458945551,0.09133725765068114
GLD,31,2019-11-20,True,0.01052455321739395,0.020663860238034296
GLD,32,2019-12-23,True,0.043427219286631784,0.07200586488195546
GLD,33,2020-01-27,True,0.03226037770359888,0.04031529163171058
GLD,34,2020-02-27,True,0.034027373331407325,0.05074296977505894
GLD,35,2020-03-30,True,0.05183743445992949,0.05470247787241955
GLD,36,2020-04-30,True,0.031339588881040076,0.04646067402451009
GLD,37,2020-06-02,False,0.04680496210744566,0.05625513010373589
GLD,38,2020-07-02,False,0.0270139195440415,0.028178093406752813
GLD,39,2020-08-04,False,0.051680038311789425,0.03734058139116217
GLD,40,2020-09-03,True,0.01595385798785874,0.02791903443833107
GLD,41,2020-10-06,True,0.017570799796755354,0.019030477439267182
GLD,42,2020-11-05,False,0.0375635023141927,0.030172040644338847
GLD,43,2020-12-08,False,0.03480475529733167,0.039177992231644136
GLD,44,2021-01-11,True,0.04196106264111702,0.03771665217325988
GLD,45,2021-02-11,False,0.04331886532462997,0.06748138573440014
GLD,46,2021-03-16,True,0.02320632931663259,0.013047079305202831
GLD,47,2021-04-16,True,0.01886226098920477,0.028004217157103158
GLD,48,2021-05-18,False,0.0353241173601541,0.026196852612408564
GLD,49,2021-06-18,False,0.07273494253603781,0.056519765544117105
GLD,50,2021-07-21,False,0.031009423658937274,0.03596968358888304
GLD,51,2021-08-20,False,0.012604995913433899,0.021169953423509816
GLD,52,2021-09-22,True,0.04316347585964461,0.039540598362597865
GLD,53,2021-10-22,True,0.06390943688411434,0.031205179524288987
GLD,54,2021-11-23,True,0.012646675662944851,0.04018647223170743
GLD,55,2021-12-27,False,0.024127595152751414,0.03017490581445986
