window,best_disc_n,holdout_n,holdout_hit_rate,holdout_roi,q_ppg_diff,q_home_ppg,t_ppg_diff,t_home_ppg,disc_n,disc_cpe,disc_lift,holdout_pnl
3,0.0,0,,,,,,,,,,
5,0.0,0,,,,,,,,,,
8,,274,0.843065693430657,0.029416058394160585,0.95,0.9,1.375,2.375,461.0,0.8199566160520607,1.84879619749285,403.0
10,,601,0.8019966722129783,0.006489184692179699,0.95,0.75,1.2999999999999998,2.0,858.0,0.8088578088578089,1.8182515590159485,194.99999999999997
15,,615,0.7967479674796748,-0.013756097560975617,0.9,0.9,0.9333333333333332,2.3333333333333335,956.0,0.8127615062761506,1.8251893936270394,-423.0000000000002
20,,657,0.817351598173516,0.004018264840182645,0.9,0.9,0.8500000000000001,2.3,967.0,0.8210961737331954,1.847093922254331,131.9999999999999
25,,679,0.8291605301914581,0.01846833578792341,0.9,0.9,0.8400000000000001,2.28,961.0,0.8220603537981269,1.84939853549574,626.9999999999998
30,,648,0.8379629629629629,0.018996913580246907,0.9,0.9,0.8333333333333333,2.3,911.0,0.814489571899012,1.8410975675397812,615.4999999999998
38,,838,0.8054892601431981,0.00640811455847255,0.8,0.9,0.5000000000000001,2.289473684210526,1166.0,0.8001715265866209,1.809572316607814,268.49999999999983
