zone,pred_col,pred_type,ticker,rationale,source,horizon,q_target,cpe_train,lift_train,uncond_prob,n_cond_train,n_cond_oos,hit_rate_oos,calibration_err,threshold
EU_Wheat_Belt,EU_Wheat_Belt_seasonal_q90,seasonal_q90,NG=F,EU Wheat heat → nat gas,Paper 7 heat,126,0.55,0.5985401459854015,1.3300347014478882,0.450018443378827,274,11,0.6363636363636364,0.03782349037823485,0.05677160592567042
Brazil_Soy,Brazil_Soy_seasonal_q90,seasonal_q90,GC=F,Brazil Soy heat → gold,Paper 7 heat,63,0.5,0.6643109540636042,1.328867494431853,0.4999075956385141,283,9,0.6666666666666666,0.002355712603062443,0.015176794178163103
US_Great_Plains_Wheat,US_Great_Plains_Wheat_tmax_q95,tmax_q95,WEAT,US Plains heat → wheat,Paper 7 heat,63,0.55,0.5972222222222222,1.3275893017411595,0.4498546511627907,144,5,0.0,-0.5972222222222222,-0.014641480458626037
US_Great_Plains_Wheat,US_Great_Plains_Wheat_GDD30_q90,GDD30_q90,WEAT,US Plains heat → wheat,Paper 7 heat,63,0.5,0.6607773851590106,1.3215547703180213,0.5,283,7,0.42857142857142855,-0.23220595658758209,-0.024401330117228327
EU_Wheat_Belt,EU_Wheat_Belt_tmax_q95,tmax_q95,NG=F,EU Wheat heat → nat gas,Paper 7 heat,126,0.55,0.5940959409594095,1.320159095033573,0.450018443378827,271,10,0.6,0.005904059040590437,0.05677160592567042
US_Great_Plains_Wheat,US_Great_Plains_Wheat_seasonal_q90,seasonal_q90,WEAT,US Plains heat → wheat,Paper 7 heat,63,0.5,0.6597938144329897,1.3195876288659794,0.5,97,3,0.0,-0.6597938144329897,-0.024401330117228327
EU_Urban_Energy,EU_Urban_Energy_heatstress_30C,heatstress_30C,UNG,EU Urban heat → nat gas ETF,Paper 7 heat,42,0.5,0.6590909090909091,1.318526170798898,0.4998694176025072,44,7,0.7142857142857143,0.05519480519480524,-0.03393667914896987
EU_Urban_Energy,EU_Urban_Energy_heatstress_30C,heatstress_30C,UNG,EU Urban heat → nat gas ETF,Paper 7 heat,42,0.55,0.5909090909090909,1.3131694190893264,0.4499869417602507,44,7,0.5714285714285714,-0.019480519480519543,-0.014532562313245869
EU_Urban_Energy,EU_Urban_Energy_heatstress_30C,heatstress_30C,UNG,EU Urban heat → nat gas ETF,Paper 7 heat,126,0.55,0.5909090909090909,1.3131694190893264,0.4499869417602507,44,7,0.42857142857142855,-0.1623376623376624,-0.06570543684796917
Brazil_Soy,Brazil_Soy_tmax_q90,tmax_q90,GC=F,Brazil Soy heat → gold,Paper 7 heat,126,0.55,0.5891891891891892,1.309282424107886,0.4500092404361486,555,19,0.8947368421052632,0.305547652916074,0.040621524384592954
