zone,pred_col,pred_type,ticker,rationale,horizon,q_target,cpe_train,lift_train,uncond_prob,threshold,n_cond_train,n_cond_oos,hit_rate_oos,calibration_err,type_group
EU_Urban_Energy,EU_Urban_Energy_GDD30_q90,GDD30_q90,NG=F,EU urban heat → nat gas,126,0.5,0.6098003629764065,1.219600725952813,0.5,0.02180928099272797,551,43,0.32558139534883723,-0.28421896762756926,GDD
EU_Urban_Energy,EU_Urban_Energy_tmax_q95,tmax_q95,UNG,EU urban heat → nat gas ETF,21,0.5,0.6067961165048543,1.2139092633736088,0.4998694176025072,-0.016315572767899272,206,18,0.6111111111111112,0.004314994606256839,tmax
Thailand_Sugar,Thailand_Sugar_seasonal_q90,seasonal_q90,CANE,Thailand sugar → sugar ETF,126,0.5,0.6066666666666667,1.2133333333333334,0.5,-0.020990513444169114,150,3,0.0,-0.6066666666666667,seasonal
EU_Urban_Energy,EU_Urban_Energy_GDD30_q80,GDD30_q80,NG=F,EU urban heat → nat gas,126,0.5,0.6066481994459834,1.2132963988919667,0.5,0.02180928099272797,1083,47,0.2978723404255319,-0.30877585902045146,GDD
EU_Wheat_Belt,EU_Wheat_Belt_GDD30_q80,GDD30_q80,NG=F,EU wheat zone → nat gas,126,0.5,0.6057866184448463,1.2115732368896925,0.5,0.02180928099272797,1106,46,0.2826086956521739,-0.3231779227926724,GDD
US_Corn_Belt,US_Corn_Belt_tmax_q90,tmax_q90,WEAT,US Corn Belt → wheat,63,0.5,0.60546875,1.2109375,0.5,-0.024401330117228327,256,16,0.1875,-0.41796875,tmax
US_Corn_Belt,US_Corn_Belt_tmax_q95,tmax_q95,GC=F,US Corn Belt → gold,42,0.5,0.60431654676259,1.2088565007513399,0.4999075956385141,0.010950268561288402,278,6,1.0,0.39568345323741005,tmax
Thailand_Sugar,Thailand_Sugar_GDD30_q80,GDD30_q80,CANE,Thailand sugar → sugar ETF,126,0.5,0.6040688575899843,1.2081377151799686,0.5,-0.020990513444169114,639,36,0.0,-0.6040688575899843,GDD
EU_Urban_Energy,EU_Urban_Energy_GDD30_q90,GDD30_q90,UNG,EU urban heat → nat gas ETF,42,0.5,0.6032863849765259,1.2068879666014198,0.4998694176025072,-0.03393667914896987,426,42,0.38095238095238093,-0.22233400402414494,GDD
US_Great_Plains_Wheat,US_Great_Plains_Wheat_seasonal_q80,seasonal_q80,WEAT,US Plains wheat → wheat ETF,126,0.5,0.6033519553072626,1.2067039106145252,0.5,-0.0581499238242462,179,8,0.0,-0.6033519553072626,seasonal
Thailand_Sugar,Thailand_Sugar_tmax_q90,tmax_q90,CANE,Thailand sugar → sugar ETF,126,0.5,0.6032786885245902,1.2065573770491804,0.5,-0.020990513444169114,305,15,0.0,-0.6032786885245902,tmax
US_Great_Plains_Wheat,US_Great_Plains_Wheat_tmax_q90,tmax_q90,WEAT,US Plains wheat → wheat ETF,63,0.5,0.6028880866425993,1.2057761732851986,0.5,-0.024401330117228327,277,14,0.42857142857142855,-0.17431665807117075,tmax
EU_Urban_Energy,EU_Urban_Energy_GDD30_q90,GDD30_q90,NG=F,EU urban heat → nat gas,63,0.5,0.6025408348457351,1.2050816696914701,0.5,0.0065355641017601105,551,43,0.4418604651162791,-0.16068036972945599,GDD
EU_Urban_Energy,EU_Urban_Energy_tmax_q90,tmax_q90,DBB,EU urban heat → base metals,63,0.5,0.6024691358024692,1.2049382716049384,0.5,0.0073736835000583305,405,29,1.0,0.3975308641975308,tmax
EU_Urban_Energy,EU_Urban_Energy_seasonal_q90,seasonal_q90,DBB,EU urban heat → base metals,63,0.5,0.6024691358024692,1.2049382716049384,0.5,0.0073736835000583305,405,29,1.0,0.3975308641975308,seasonal
EU_Urban_Energy,EU_Urban_Energy_GDD30_q80,GDD30_q80,NG=F,EU urban heat → nat gas,63,0.5,0.6011080332409973,1.2022160664819945,0.5,0.0065355641017601105,1083,47,0.44680851063829785,-0.1542995226026994,GDD
US_Corn_Belt,US_Corn_Belt_seasonal_q90,seasonal_q90,GC=F,US Corn Belt → gold,42,0.5,0.6008403361344538,1.201902794389475,0.4999075956385141,0.010950268561288402,238,5,1.0,0.39915966386554624,seasonal
US_Corn_Belt,US_Corn_Belt_seasonal_q90,seasonal_q90,GC=F,US Corn Belt → gold,126,0.5,0.6008403361344538,1.201902794389475,0.4999075956385141,0.03163254647015076,238,5,1.0,0.39915966386554624,seasonal
US_Urban_Energy,US_Urban_Energy_heatstress_32C,heatstress_32C,GC=F,US urban heat → gold,21,0.5,0.6,1.2002218114602587,0.4999075956385141,0.005281015460388131,125,6,0.6666666666666666,0.06666666666666665,heat_stress
US_Great_Plains_Wheat,US_Great_Plains_Wheat_heatstress_32C,heatstress_32C,ZW=F,US Plains wheat → wheat futures,42,0.5,0.5977011494252874,1.1954022988505748,0.5,0.00508835880796275,87,0,,,heat_stress
US_Great_Plains_Wheat,US_Great_Plains_Wheat_heatstress_32C,heatstress_32C,ZW=F,US Plains wheat → wheat futures,126,0.5,0.5977011494252874,1.1954022988505748,0.5,0.010970113771031225,87,0,,,heat_stress
US_Great_Plains_Wheat,US_Great_Plains_Wheat_GDD30_q90,GDD30_q90,ZW=F,US Plains wheat → wheat futures,42,0.5,0.5972222222222222,1.1944444444444444,0.5,0.00508835880796275,576,7,0.0,-0.5972222222222222,GDD
EU_Urban_Energy,EU_Urban_Energy_GDD30_q90,GDD30_q90,NG=F,EU urban heat → nat gas,42,0.5,0.5970961887477314,1.1941923774954628,0.5,0.0004339532622943069,551,43,0.37209302325581395,-0.22500316549191746,GDD
US_Great_Plains_Wheat,US_Great_Plains_Wheat_heatstress_32C,heatstress_32C,CORN,US Plains wheat → corn,21,0.5,0.5964912280701754,1.193371810727864,0.499836867862969,-0.0025581446652829867,57,0,,,heat_stress
EU_Wheat_Belt,EU_Wheat_Belt_GDD30_q90,GDD30_q90,WEAT,EU wheat zone → wheat ETF,63,0.5,0.5962059620596206,1.1924119241192412,0.5,-0.024401330117228327,369,24,0.2916666666666667,-0.30453929539295393,GDD
US_Corn_Belt,US_Corn_Belt_tmax_q90,tmax_q90,GC=F,US Corn Belt → gold,42,0.5,0.5947467166979362,1.1897133027920639,0.4999075956385141,0.010950268561288402,533,17,0.8823529411764706,0.28760622447853434,tmax
Ukraine_Russia_Wheat,Ukraine_Russia_Wheat_seasonal_q80,seasonal_q80,GC=F,Black Sea wheat → gold,126,0.5,0.5944954128440367,1.189210602180807,0.4999075956385141,0.03163254647015076,545,19,1.0,0.40550458715596327,seasonal
US_Urban_Energy,US_Urban_Energy_GDD30_q80,GDD30_q80,NG=F,US urban heat → nat gas,126,0.5,0.5938069216757741,1.1876138433515482,0.5,0.02180928099272797,1098,40,0.25,-0.3438069216757741,GDD
EU_Urban_Energy,EU_Urban_Energy_tmax_q90,tmax_q90,UNG,EU urban heat → nat gas ETF,21,0.5,0.5925925925925926,1.1854947946901968,0.4998694176025072,-0.016315572767899272,405,29,0.7241379310344828,0.1315453384418902,tmax
EU_Urban_Energy,EU_Urban_Energy_seasonal_q90,seasonal_q90,UNG,EU urban heat → nat gas ETF,21,0.5,0.5925925925925926,1.1854947946901968,0.4998694176025072,-0.016315572767899272,405,29,0.7241379310344828,0.1315453384418902,seasonal
EU_Wheat_Belt,EU_Wheat_Belt_tmax_q90,tmax_q90,NG=F,EU wheat zone → nat gas,126,0.5,0.592391304347826,1.184782608695652,0.5,0.02180928099272797,552,22,0.4090909090909091,-0.18330039525691694,tmax
US_Great_Plains_Wheat,US_Great_Plains_Wheat_seasonal_q80,seasonal_q80,WEAT,US Plains wheat → wheat ETF,63,0.5,0.5921787709497207,1.1843575418994414,0.5,-0.024401330117228327,179,8,0.0,-0.5921787709497207,seasonal
EU_Urban_Energy,EU_Urban_Energy_tmax_q95,tmax_q95,NG=F,EU urban heat → nat gas,126,0.5,0.5915492957746479,1.1830985915492958,0.5,0.02180928099272797,284,19,0.6842105263157895,0.09266123054114161,tmax
