threshold,uncond_prob,cpe_train,lift_train,n_cond_train,n_cond_oos,hit_rate_oos,calibration_err,direction,temp_predictor,ticker,instrument,horizon,q_target
0.01566434953683643,0.40007267441860467,0.5588235294117647,1.3968050435433028,544,50,0.02,-0.5388235294117647,D4_median_to_median,North_America_tmax_q80_exceed,CANE,Sugar ETF,63,0.6
0.015445119613536205,0.40007267441860467,0.5588235294117647,1.3968050435433028,544,50,0.0,-0.5588235294117647,D4_median_to_median,North_America_tmax_q80_exceed,CANE,Sugar ETF,126,0.6
0.008584851752618382,0.5,0.6580246913580247,1.3160493827160493,810,54,1.0,0.34197530864197534,D4_median_to_median,Europe_tmax_q80_exceed,DBB,Base metals ETF,126,0.5
0.005258808801037032,0.4498546511627907,0.5900735294117647,1.3116981849282523,544,50,0.06,-0.5300735294117647,D4_median_to_median,North_America_tmax_q80_exceed,CANE,Sugar ETF,63,0.55
-0.00128601926161488,0.4498546511627907,0.5883306320907618,1.3078238283633088,617,54,0.0,-0.5883306320907618,D4_median_to_median,Europe_tmax_q80_exceed,CANE,Sugar ETF,126,0.55
0.024258908234410258,0.44994866529774125,0.5839506172839506,1.29781608952554,810,54,1.0,0.4160493827160494,D4_median_to_median,Europe_tmax_q80_exceed,DBB,Base metals ETF,126,0.55
-0.00128601926161488,0.4498546511627907,0.5827205882352942,1.295353036206405,544,50,0.0,-0.5827205882352942,D4_median_to_median,North_America_tmax_q80_exceed,CANE,Sugar ETF,126,0.55
0.04535768827465203,0.45,0.5825991189427313,1.2946647087616252,908,69,0.043478260869565216,-0.5391208580731661,D4_median_to_median,Asia_tmax_q80_exceed,FXI,China equities,126,0.55
0.06034122387352874,0.4499062695271818,0.5787401574803149,1.2863571741032371,1016,54,0.09259259259259259,-0.48614756488772237,D4_median_to_median,Europe_tmax_q80_exceed,EEM,Emerging market equities,126,0.55
-0.00128601926161488,0.4498546511627907,0.5781512605042017,1.2851956937864,595,69,0.0,-0.5781512605042017,D4_median_to_median,Asia_tmax_q80_exceed,CANE,Sugar ETF,126,0.55
