threshold,uncond_prob,cpe_train,lift_train,n_cond_train,n_cond_oos,hit_rate_oos,calibration_err,direction,temp_predictor,ticker,instrument,horizon,q_target,region,asset_class
0.02837519222431436,0.34992732558139533,0.6436170212765957,1.839287686971123,188,46,0.0,-0.6436170212765957,D1_tail_to_median,Asia_tmax_q95_exceed,CANE,Sugar ETF,63,0.65,Asia,Agricultural
0.015445119613536205,0.40007267441860467,0.708994708994709,1.772164794871425,189,22,0.0,-0.708994708994709,D1_tail_to_median,Europe_tmax_q95_exceed,CANE,Sugar ETF,126,0.6,Europe,Agricultural
0.03655025923185122,0.34992732558139533,0.6137566137566137,1.7539545182328151,189,22,0.0,-0.6137566137566137,D1_tail_to_median,Europe_tmax_q95_exceed,CANE,Sugar ETF,126,0.65,Europe,Agricultural
0.01566434953683643,0.40007267441860467,0.6648936170212766,1.6619320926817012,188,46,0.021739130434782608,-0.643154486586494,D1_tail_to_median,Asia_tmax_q95_exceed,CANE,Sugar ETF,63,0.6,Asia,Agricultural
0.015445119613536205,0.40007267441860467,0.6537313432835821,1.6340314774899345,335,30,0.0,-0.6537313432835821,D1_tail_to_median,Europe_tmax_q90_exceed,CANE,Sugar ETF,126,0.6,Europe,Agricultural
-0.00128601926161488,0.4498546511627907,0.7195767195767195,1.5995760357634345,189,22,0.0,-0.7195767195767195,D1_tail_to_median,Europe_tmax_q95_exceed,CANE,Sugar ETF,126,0.55,Europe,Agricultural
0.01566434953683643,0.40007267441860467,0.6296296296296297,1.5737881387291015,189,22,0.045454545454545456,-0.5841750841750842,D1_tail_to_median,Europe_tmax_q95_exceed,CANE,Sugar ETF,63,0.6,Europe,Agricultural
0.01566434953683643,0.40007267441860467,0.6258064516129033,1.5642319299170842,155,16,0.0625,-0.5633064516129033,D1_tail_to_median,North_America_tmax_q95_exceed,CANE,Sugar ETF,63,0.6,North America,Agricultural
0.01566434953683643,0.40007267441860467,0.6216216216216216,1.5537717554066326,333,55,0.01818181818181818,-0.6034398034398034,D1_tail_to_median,Asia_tmax_q90_exceed,CANE,Sugar ETF,63,0.6,Asia,Agricultural
0.01566434953683643,0.40007267441860467,0.6179104477611941,1.5444955061206231,335,30,0.03333333333333333,-0.5845771144278608,D1_tail_to_median,Europe_tmax_q90_exceed,CANE,Sugar ETF,63,0.6,Europe,Agricultural
-0.00128601926161488,0.4498546511627907,0.6865671641791045,1.526197767222048,335,30,0.0,-0.6865671641791045,D1_tail_to_median,Europe_tmax_q90_exceed,CANE,Sugar ETF,126,0.55,Europe,Agricultural
