temp_predictor,ticker,rationale,horizon,q_target,cpe_train,lift_train,uncond_prob,threshold,n_cond_train,n_cond_oos,n_resolved_oos,hit_rate_oos,calibration_err
Asia_tmax_q90_exceed,CANE,Asia heat → sugar,63,0.6,0.6216216216216216,1.5537717554066326,0.40007267441860467,0.01566434953683643,333,55,55,0.01818181818181818,-0.6034398034398034
Europe_tmax_q90_exceed,DBB,EU heat → base metals,126,0.5,0.74,1.48,0.5,0.008584851752618382,400,30,30,1.0,0.26
Europe_tmax_q90_exceed,DBB,EU heat → base metals,126,0.55,0.66,1.4668339988590988,0.44994866529774125,0.024258908234410258,400,30,30,1.0,0.33999999999999997
Asia_tmax_q90_exceed,CANE,Asia heat → sugar,63,0.55,0.6396396396396397,1.4218806852086334,0.4498546511627907,0.005258808801037032,333,55,55,0.05454545454545454,-0.5850941850941851
Asia_tmax_q90_exceed,CANE,Asia heat → sugar,126,0.55,0.6366366366366366,1.415205189033945,0.4498546511627907,-0.00128601926161488,333,55,55,0.0,-0.6366366366366366
Asia_tmax_q95_exceed,GLD,Asia extreme → gold,126,0.55,0.6166666666666667,1.370335852225021,0.4500113352981183,0.044941461927349435,240,46,46,0.9347826086956522,0.3181159420289855
Asia_tmax_q90_exceed,CANE,Asia heat → sugar,63,0.5,0.6846846846846847,1.3693693693693694,0.5,-0.004753872020978338,333,55,55,0.09090909090909091,-0.5937755937755937
Europe_tmax_q90_exceed,EFA,EU heat → developed equities,126,0.55,0.6101364522417154,1.3558297618093942,0.4500096320554806,0.049105291277840184,513,30,30,0.8666666666666667,0.2565302144249513
Asia_tmax_q95_exceed,GC=F,Asia extreme → gold futures,126,0.55,0.6045627376425855,1.3434451636074045,0.4500092404361486,0.040621524384592954,263,47,47,0.9787234042553191,0.3741606666127336
Asia_tmax_q95_exceed,GLD,Asia extreme → gold,126,0.5,0.6708333333333333,1.3419708994708994,0.4998866470188166,0.03301874175749807,240,46,46,0.9782608695652174,0.3074275362318841
Asia_tmax_q90_exceed,NG=F,Asia heat → nat gas,126,0.55,0.600375234521576,1.334112508842617,0.450018443378827,0.05677160592567042,533,56,56,0.26785714285714285,-0.3325180916644332
Asia_tmax_q95_exceed,FXI,Asia extreme → China equities,126,0.55,0.6,1.3333333333333333,0.45,0.04535768827465203,240,46,46,0.0,-0.6
Asia_tmax_q90_exceed,CANE,Asia heat → sugar,126,0.5,0.6606606606606606,1.3213213213213213,0.5,-0.020990513444169114,333,55,55,0.0,-0.6606606606606606
Asia_tmax_q95_exceed,FXI,Asia extreme → China equities,126,0.5,0.6583333333333333,1.3166666666666667,0.5,0.030585628345748496,240,46,46,0.0,-0.6583333333333333
Europe_tmax_q90_exceed,HG=F,EU heat → copper,126,0.5,0.6566604127579737,1.3135631356313562,0.49990776609481646,0.01660229833554329,533,31,31,0.3548387096774194,-0.30182170308055434
Asia_tmax_q90_exceed,FXI,Asia heat → China equities,126,0.5,0.6481876332622601,1.2963752665245203,0.5,0.030585628345748496,469,55,55,0.0,-0.6481876332622601
Asia_tmax_q90_exceed,CANE,Asia heat → sugar,42,0.5,0.6426426426426426,1.2852852852852852,0.5,-0.005276347740976788,333,55,55,0.21818181818181817,-0.42446082446082445
Asia_tmax_q90_exceed,NG=F,Asia heat → nat gas,126,0.5,0.6416510318949343,1.2833020637898687,0.5,0.02180928099272797,533,56,56,0.3392857142857143,-0.30236531760922003
Asia_tmax_q95_exceed,GC=F,Asia extreme → gold futures,126,0.5,0.6387832699619772,1.2778026890071197,0.4999075956385141,0.03163254647015076,263,47,47,1.0,0.3612167300380228
Asia_tmax_q90_exceed,GLD,Asia heat → gold,126,0.5,0.6375266524520256,1.2753424326375895,0.4998866470188166,0.03301874175749807,469,55,55,0.9818181818181818,0.34429152936615626
Europe_tmax_q90_exceed,EFA,EU heat → developed equities,126,0.5,0.631578947368421,1.263401277760876,0.4999036794451936,0.03862552134403712,513,30,30,0.9,0.268421052631579
Asia_tmax_q90_exceed,DBB,Asia heat → base metals,126,0.5,0.631336405529954,1.262672811059908,0.5,0.008584851752618382,434,55,55,1.0,0.36866359447004604
Asia_tmax_q95_exceed,NG=F,Asia extreme → nat gas,126,0.5,0.6311787072243346,1.2623574144486691,0.5,0.02180928099272797,263,47,47,0.3617021276595745,-0.26947657956476007
Europe_tmax_q90_exceed,NG=F,EU heat → nat gas futures,126,0.5,0.624765478424015,1.24953095684803,0.5,0.02180928099272797,533,31,31,0.5806451612903226,-0.044120317133692355
Europe_tmax_q95_exceed,NG=F,EU extreme → nat gas,126,0.5,0.6164874551971327,1.2329749103942653,0.5,0.02180928099272797,279,23,23,0.6521739130434783,0.03568645784634561
Europe_tmax_q90_exceed,DBB,EU heat → base metals,63,0.5,0.615,1.23,0.5,0.0073736835000583305,400,30,30,1.0,0.385
Asia_tmax_q90_exceed,GC=F,Asia heat → gold futures,126,0.5,0.6109022556390977,1.2220303531471934,0.4999075956385141,0.03163254647015076,532,56,56,1.0,0.3890977443609023
North_America_tmax_q95_exceed,NG=F,NA extreme → nat gas,126,0.5,0.6048951048951049,1.2097902097902098,0.5,0.02180928099272797,286,16,16,0.3125,-0.2923951048951049
Asia_tmax_q95_exceed,NG=F,Asia extreme → nat gas,63,0.5,0.6045627376425855,1.209125475285171,0.5,0.0065355641017601105,263,47,47,0.46808510638297873,-0.13647763125960677
Asia_tmax_q90_exceed,EEM,Asia heat → EM equities,126,0.5,0.6003976143141153,1.2010453943008614,0.49989585503020206,0.046120150670114116,503,55,55,0.2,-0.4003976143141153
