ticker,group,event,horizon,car,beta
RNR,cat-exposed,Katrina_2005,1 week,-0.0501529625607361,0.4971722915147218
RNR,cat-exposed,Rita_2005,1 week,-0.046307585170154236,0.5720040620782277
RNR,cat-exposed,Wilma_2005,1 week,-0.1070277172636548,0.5094220261652511
RNR,cat-exposed,Ike_2008,1 week,0.11236536272717712,0.7069982684828396
RNR,cat-exposed,Sandy_2012,1 week,-0.03917474287404367,0.6125015824205385
RNR,cat-exposed,Harvey_2017,1 week,-0.041644089549663664,0.6026481227947589
RNR,cat-exposed,Irma_2017,1 week,0.04378748847554054,0.6068377636254705
RNR,cat-exposed,Maria_2017,1 week,-0.000334166323200602,0.6006355115080378
RNR,cat-exposed,Michael_2018,1 week,-0.030453649327451336,0.5382993063467099
RNR,cat-exposed,Laura_2020,1 week,-0.008939606473165034,0.9003790885301619
RNR,cat-exposed,Ida_2021,1 week,-0.03820846877406075,0.7242568382380062
RNR,cat-exposed,Ian_2022,1 week,0.033863464742228906,0.586769663552524
RNR,cat-exposed,Helene_2024,1 week,0.03764761273475069,0.19026097974429243
RNR,cat-exposed,Milton_2024,1 week,0.042104296905316835,0.2140608776213481
RNR,cat-exposed,Katrina_2005,2 weeks,-0.05482587389111186,0.4971722915147218
RNR,cat-exposed,Rita_2005,2 weeks,-0.06515412407722404,0.5720040620782277
RNR,cat-exposed,Wilma_2005,2 weeks,-0.036358895816727785,0.5094220261652511
RNR,cat-exposed,Ike_2008,2 weeks,-0.01186114293983919,0.7069982684828396
RNR,cat-exposed,Sandy_2012,2 weeks,-0.01147110274756596,0.6125015824205385
RNR,cat-exposed,Harvey_2017,2 weeks,-0.11368308232323238,0.6026481227947589
RNR,cat-exposed,Irma_2017,2 weeks,0.012860778825840934,0.6068377636254705
RNR,cat-exposed,Maria_2017,2 weeks,0.041120621844636614,0.6006355115080378
RNR,cat-exposed,Michael_2018,2 weeks,-0.060056037057044924,0.5382993063467099
RNR,cat-exposed,Laura_2020,2 weeks,0.006515969619322288,0.9003790885301619
RNR,cat-exposed,Ida_2021,2 weeks,-0.0595230452293829,0.7242568382380062
RNR,cat-exposed,Ian_2022,2 weeks,-0.016401791540440417,0.586769663552524
