ticker,group,horizon,n_events,mean_car_pct,t_stat,p_value
RNR,cat-exposed,1 week,14,-0.660534019507972,-0.4448865285754387,0.6637189819070128
RNR,cat-exposed,2 weeks,14,-2.1250216199678738,-1.7334322397977269,0.10665505492941878
RNR,cat-exposed,1 month,14,-0.687148205222509,-0.4236261652172393,0.678763488137178
RNR,cat-exposed,3 months,14,1.3385891443165312,0.3678047331014045,0.7189378270616145
EG,cat-exposed,1 week,14,0.9481010139901078,0.5131537810415678,0.6164525362817179
EG,cat-exposed,2 weeks,14,-0.9314549957524451,-0.5753486580650015,0.5748794610216752
EG,cat-exposed,1 month,14,0.052345625371492066,0.02605482258905293,0.9796093236930282
EG,cat-exposed,3 months,14,-0.20906514042552116,-0.050965223250102616,0.9601280081285424
ACGL,cat-exposed,1 week,14,0.8832924209058726,0.5613014115317914,0.5841387176416745
ACGL,cat-exposed,2 weeks,14,0.8656694283130638,0.65196175404908,0.525785527997119
ACGL,cat-exposed,1 month,14,0.6979378700114814,0.44068927470191555,0.6666773665567426
ACGL,cat-exposed,3 months,14,0.8004103266122611,0.19447473436961152,0.848810356882309
SREN.SW,cat-exposed,1 week,14,-0.658530152076075,-0.7487666615328221,0.467330070967519
SREN.SW,cat-exposed,2 weeks,14,0.31885553888034823,0.28455988464953635,0.7804637274179561
SREN.SW,cat-exposed,1 month,14,-1.4455655830062581,-0.8435577650354839,0.4141694941312023
SREN.SW,cat-exposed,3 months,14,6.496312749030136,3.712303096103973,0.0026081577333186973
MUV2.DE,cat-exposed,1 week,14,0.18302621133186017,0.19497361907496194,0.8484277590780976
MUV2.DE,cat-exposed,2 weeks,14,1.294117611235911,1.2093678797171856,0.24805636484641944
MUV2.DE,cat-exposed,1 month,14,1.115557391682083,0.7538143441297313,0.46439594155352604
MUV2.DE,cat-exposed,3 months,14,5.690324497463983,1.8331451793956235,0.08977347180973012
PGR,control,1 week,14,-0.5013884163142783,-0.8454423905867557,0.4131545137852486
PGR,control,2 weeks,14,-0.006989002721440684,-0.006969787644633167,0.9945447810867334
PGR,control,1 month,14,0.5341052778827893,0.41184780033842233,0.6871608493096981
PGR,control,3 months,14,-1.971480377204601,-0.6417263723584821,0.5322034755350779
TRV,control,1 week,14,0.7354021496739204,0.5330685845539516,0.6029803095439636
TRV,control,2 weeks,14,0.5816549847318071,0.437774125262791,0.6687354977323026
TRV,control,1 month,14,2.784918419576454,2.2075782249146774,0.04585459388785586
TRV,control,3 months,14,4.937488160558756,1.5204906483809124,0.15233138614375671
