ticker,group,horizon,direction,q,threshold_pct,cpe,lift,n_real_events,n_null_draws
RNR,cat-exposed,1 week,loss,0.1,-3.6320044679581645,0.42857142857142855,4.285714285714286,14,3000
RNR,cat-exposed,1 week,loss,0.25,-1.7415321302058036,0.5,2.0,14,3000
RNR,cat-exposed,1 week,gain,0.75,1.6793971814210902,0.35714285714285715,1.4285714285714286,14,3000
RNR,cat-exposed,1 week,gain,0.9,3.715398991495448,0.2857142857142857,2.8571428571428577,14,3000
RNR,cat-exposed,2 weeks,loss,0.1,-5.267805186631368,0.35714285714285715,3.571428571428571,14,3000
RNR,cat-exposed,2 weeks,loss,0.25,-2.643369221309137,0.42857142857142855,1.7142857142857142,14,3000
RNR,cat-exposed,2 weeks,gain,0.75,2.445277843961149,0.21428571428571427,0.8571428571428571,14,3000
RNR,cat-exposed,2 weeks,gain,0.9,5.173696525363691,0.0,0.0,14,3000
RNR,cat-exposed,1 month,loss,0.1,-7.569136569886349,0.21428571428571427,2.142857142857143,14,3000
RNR,cat-exposed,1 month,loss,0.25,-3.8536440734446953,0.2857142857142857,1.1428571428571428,14,3000
RNR,cat-exposed,1 month,gain,0.75,3.2728866971404083,0.14285714285714285,0.5714285714285714,14,3000
RNR,cat-exposed,1 month,gain,0.9,7.246714618640268,0.07142857142857142,0.7142857142857144,14,3000
RNR,cat-exposed,3 months,loss,0.1,-13.154589724003108,0.07142857142857142,0.7142857142857142,14,3000
RNR,cat-exposed,3 months,loss,0.25,-7.83661363676475,0.35714285714285715,1.4285714285714286,14,3000
RNR,cat-exposed,3 months,gain,0.75,5.903037684782672,0.2857142857142857,1.1428571428571428,14,3000
RNR,cat-exposed,3 months,gain,0.9,12.46678210656938,0.21428571428571427,2.1428571428571432,14,3000
EG,cat-exposed,1 week,loss,0.1,-3.6007309359173436,0.21428571428571427,2.142857142857143,14,3000
EG,cat-exposed,1 week,loss,0.25,-1.839754809969034,0.42857142857142855,1.7142857142857142,14,3000
EG,cat-exposed,1 week,gain,0.75,1.5631939467030544,0.42857142857142855,1.7142857142857142,14,3000
EG,cat-exposed,1 week,gain,0.9,3.53392717555802,0.2857142857142857,2.8571428571428577,14,3000
EG,cat-exposed,2 weeks,loss,0.1,-5.137258745637075,0.21428571428571427,2.142857142857143,14,3000
EG,cat-exposed,2 weeks,loss,0.25,-2.499374451772675,0.35714285714285715,1.4285714285714286,14,3000
EG,cat-exposed,2 weeks,gain,0.75,2.2333834876878975,0.2857142857142857,1.1428571428571428,14,3000
EG,cat-exposed,2 weeks,gain,0.9,4.944195899035949,0.21428571428571427,2.1428571428571432,14,3000
EG,cat-exposed,1 month,loss,0.1,-7.593842277273202,0.07142857142857142,0.7142857142857142,14,3000
EG,cat-exposed,1 month,loss,0.25,-3.6918472445511177,0.14285714285714285,0.5714285714285714,14,3000
EG,cat-exposed,1 month,gain,0.75,3.4256998813600448,0.21428571428571427,0.8571428571428571,14,3000
EG,cat-exposed,1 month,gain,0.9,7.526859578489914,0.07142857142857142,0.7142857142857144,14,3000
EG,cat-exposed,3 months,loss,0.1,-14.016327736561765,0.14285714285714285,1.4285714285714284,14,3000
EG,cat-exposed,3 months,loss,0.25,-7.121664451342546,0.2857142857142857,1.1428571428571428,14,3000
EG,cat-exposed,3 months,gain,0.75,5.6680748251211694,0.21428571428571427,0.8571428571428571,14,3000
EG,cat-exposed,3 months,gain,0.9,13.14060564277292,0.14285714285714285,1.4285714285714288,14,3000
ACGL,cat-exposed,1 week,loss,0.1,-3.3585976394121886,0.14285714285714285,1.4285714285714284,14,3000
ACGL,cat-exposed,1 week,loss,0.25,-1.5481850122002019,0.35714285714285715,1.4285714285714286,14,3000
ACGL,cat-exposed,1 week,gain,0.75,1.4612300273546635,0.2857142857142857,1.1428571428571428,14,3000
ACGL,cat-exposed,1 week,gain,0.9,3.2106995485010414,0.14285714285714285,1.4285714285714288,14,3000
ACGL,cat-exposed,2 weeks,loss,0.1,-4.748194277435703,0.0,0.0,14,3000
ACGL,cat-exposed,2 weeks,loss,0.25,-2.1593597897680326,0.42857142857142855,1.7142857142857142,14,3000
ACGL,cat-exposed,2 weeks,gain,0.75,2.2108766216162334,0.42857142857142855,1.7142857142857142,14,3000
ACGL,cat-exposed,2 weeks,gain,0.9,4.611694079895186,0.2857142857142857,2.8571428571428577,14,3000
ACGL,cat-exposed,1 month,loss,0.1,-6.584864686791575,0.14285714285714285,1.4285714285714284,14,3000
ACGL,cat-exposed,1 month,loss,0.25,-3.2120560227873107,0.21428571428571427,0.8571428571428571,14,3000
ACGL,cat-exposed,1 month,gain,0.75,3.0220201766403005,0.21428571428571427,0.8571428571428571,14,3000
ACGL,cat-exposed,1 month,gain,0.9,6.300105965029693,0.21428571428571427,2.1428571428571432,14,3000
ACGL,cat-exposed,3 months,loss,0.1,-11.756146595636247,0.21428571428571427,2.142857142857143,14,3000
ACGL,cat-exposed,3 months,loss,0.25,-5.670737609020347,0.35714285714285715,1.4285714285714286,14,3000
ACGL,cat-exposed,3 months,gain,0.75,5.838028792051183,0.42857142857142855,1.7142857142857142,14,3000
ACGL,cat-exposed,3 months,gain,0.9,11.543076270048259,0.21428571428571427,2.1428571428571432,14,3000
SREN.SW,cat-exposed,1 week,loss,0.1,-4.082541217989205,0.14285714285714285,1.4285714285714284,14,3000
SREN.SW,cat-exposed,1 week,loss,0.25,-1.8826157643574295,0.42857142857142855,1.7142857142857142,14,3000
SREN.SW,cat-exposed,1 week,gain,0.75,1.6211745311936694,0.2857142857142857,1.1428571428571428,14,3000
SREN.SW,cat-exposed,1 week,gain,0.9,3.50270172668026,0.14285714285714285,1.4285714285714288,14,3000
SREN.SW,cat-exposed,2 weeks,loss,0.1,-5.648250508914881,0.07142857142857142,0.7142857142857142,14,3000
SREN.SW,cat-exposed,2 weeks,loss,0.25,-2.60158768699258,0.35714285714285715,1.4285714285714286,14,3000
SREN.SW,cat-exposed,2 weeks,gain,0.75,2.262984590498503,0.35714285714285715,1.4285714285714286,14,3000
SREN.SW,cat-exposed,2 weeks,gain,0.9,4.886603156784017,0.21428571428571427,2.1428571428571432,14,3000
SREN.SW,cat-exposed,1 month,loss,0.1,-8.885050964912866,0.07142857142857142,0.7142857142857142,14,3000
SREN.SW,cat-exposed,1 month,loss,0.25,-4.556187814353767,0.2857142857142857,1.1428571428571428,14,3000
SREN.SW,cat-exposed,1 month,gain,0.75,3.136850744917389,0.35714285714285715,1.4285714285714286,14,3000
SREN.SW,cat-exposed,1 month,gain,0.9,7.472815473118357,0.0,0.0,14,3000
SREN.SW,cat-exposed,3 months,loss,0.1,-18.508524130814507,0.0,0.0,14,3000
SREN.SW,cat-exposed,3 months,loss,0.25,-8.475528405909532,0.0,0.0,14,3000
SREN.SW,cat-exposed,3 months,gain,0.75,6.4550925534080985,0.35714285714285715,1.4285714285714286,14,3000
SREN.SW,cat-exposed,3 months,gain,0.9,15.405745092207138,0.14285714285714285,1.4285714285714288,14,3000
MUV2.DE,cat-exposed,1 week,loss,0.1,-3.655139115509632,0.07142857142857142,0.7142857142857142,14,3000
MUV2.DE,cat-exposed,1 week,loss,0.25,-1.8055996610180962,0.35714285714285715,1.4285714285714286,14,3000
MUV2.DE,cat-exposed,1 week,gain,0.75,1.6542060208545997,0.35714285714285715,1.4285714285714286,14,3000
MUV2.DE,cat-exposed,1 week,gain,0.9,3.400282441277744,0.21428571428571427,2.1428571428571432,14,3000
MUV2.DE,cat-exposed,2 weeks,loss,0.1,-4.959928734700245,0.0,0.0,14,3000
MUV2.DE,cat-exposed,2 weeks,loss,0.25,-2.493445524181452,0.21428571428571427,0.8571428571428571,14,3000
MUV2.DE,cat-exposed,2 weeks,gain,0.75,2.372230380857209,0.42857142857142855,1.7142857142857142,14,3000
MUV2.DE,cat-exposed,2 weeks,gain,0.9,5.032549811254935,0.21428571428571427,2.1428571428571432,14,3000
MUV2.DE,cat-exposed,1 month,loss,0.1,-7.561233710163802,0.07142857142857142,0.7142857142857142,14,3000
MUV2.DE,cat-exposed,1 month,loss,0.25,-3.86641045813081,0.14285714285714285,0.5714285714285714,14,3000
MUV2.DE,cat-exposed,1 month,gain,0.75,3.469107497796492,0.42857142857142855,1.7142857142857142,14,3000
MUV2.DE,cat-exposed,1 month,gain,0.9,7.318792402904416,0.21428571428571427,2.1428571428571432,14,3000
MUV2.DE,cat-exposed,3 months,loss,0.1,-11.34100332620009,0.0,0.0,14,3000
MUV2.DE,cat-exposed,3 months,loss,0.25,-5.923444961963301,0.0,0.0,14,3000
MUV2.DE,cat-exposed,3 months,gain,0.75,6.11015326622806,0.2857142857142857,1.1428571428571428,14,3000
MUV2.DE,cat-exposed,3 months,gain,0.9,11.887145878978021,0.2857142857142857,2.8571428571428577,14,3000
PGR,control,1 week,loss,0.1,-3.3836411839704574,0.07142857142857142,0.7142857142857142,14,3000
PGR,control,1 week,loss,0.25,-1.622009108032843,0.2857142857142857,1.1428571428571428,14,3000
PGR,control,1 week,gain,0.75,1.6532276267376116,0.14285714285714285,0.5714285714285714,14,3000
PGR,control,1 week,gain,0.9,3.5766491269947367,0.07142857142857142,0.7142857142857144,14,3000
PGR,control,2 weeks,loss,0.1,-5.088182521752732,0.07142857142857142,0.7142857142857142,14,3000
PGR,control,2 weeks,loss,0.25,-2.6109126076858344,0.2857142857142857,1.1428571428571428,14,3000
PGR,control,2 weeks,gain,0.75,2.416766690669976,0.35714285714285715,1.4285714285714286,14,3000
PGR,control,2 weeks,gain,0.9,4.884475124674494,0.07142857142857142,0.7142857142857144,14,3000
PGR,control,1 month,loss,0.1,-8.378129855387614,0.07142857142857142,0.7142857142857142,14,3000
PGR,control,1 month,loss,0.25,-4.266849989766847,0.14285714285714285,0.5714285714285714,14,3000
PGR,control,1 month,gain,0.75,3.6265463847716757,0.35714285714285715,1.4285714285714286,14,3000
PGR,control,1 month,gain,0.9,7.587933375259475,0.0,0.0,14,3000
PGR,control,3 months,loss,0.1,-16.164972362660222,0.14285714285714285,1.4285714285714284,14,3000
PGR,control,3 months,loss,0.25,-8.56522303378197,0.2857142857142857,1.1428571428571428,14,3000
PGR,control,3 months,gain,0.75,6.7879088344858465,0.14285714285714285,0.5714285714285714,14,3000
PGR,control,3 months,gain,0.9,14.139691547246866,0.14285714285714285,1.4285714285714288,14,3000
TRV,control,1 week,loss,0.1,-3.267210767931408,0.21428571428571427,2.142857142857143,14,3000
TRV,control,1 week,loss,0.25,-1.5680756360779566,0.35714285714285715,1.4285714285714286,14,3000
TRV,control,1 week,gain,0.75,1.4129595382694902,0.42857142857142855,1.7142857142857142,14,3000
TRV,control,1 week,gain,0.9,3.224745546885812,0.2857142857142857,2.8571428571428577,14,3000
TRV,control,2 weeks,loss,0.1,-4.370811809185853,0.14285714285714285,1.4285714285714284,14,3000
TRV,control,2 weeks,loss,0.25,-2.237588858991512,0.2857142857142857,1.1428571428571428,14,3000
TRV,control,2 weeks,gain,0.75,2.1181298099428947,0.35714285714285715,1.4285714285714286,14,3000
TRV,control,2 weeks,gain,0.9,4.606926939914727,0.21428571428571427,2.1428571428571432,14,3000
TRV,control,1 month,loss,0.1,-6.993868309794616,0.0,0.0,14,3000
TRV,control,1 month,loss,0.25,-3.4263198667175394,0.0,0.0,14,3000
TRV,control,1 month,gain,0.75,3.148749215294677,0.42857142857142855,1.7142857142857142,14,3000
TRV,control,1 month,gain,0.9,6.704218721121878,0.21428571428571427,2.1428571428571432,14,3000
TRV,control,3 months,loss,0.1,-12.58591276967056,0.0,0.0,14,3000
TRV,control,3 months,loss,0.25,-6.004223297248783,0.07142857142857142,0.2857142857142857,14,3000
TRV,control,3 months,gain,0.75,5.540948956539192,0.35714285714285715,1.4285714285714286,14,3000
TRV,control,3 months,gain,0.9,12.1069062268634,0.21428571428571427,2.1428571428571432,14,3000
